# Cyanide Concentration,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std,RGB-KMEANS
0,139.2682076446281,111.38571797520662,185.17264979338842,81.78059737501759,60.46058246985399,103.61103045090533,113.1849173553719,147.2737603305785,203.04610020661158,41.2133684054549,58.66165287554825,91.68012696066153,136.97430268595042,155.59400826446281,95.90198863636364,64.04471647567583,39.98056339818506,39.336314475827464,128.14733987603304,59.81422350341349,139
10,139.75477789256198,109.37280475206612,186.22107438016528,81.33307841223389,60.45609267573317,103.7112204239296,113.34749483471074,150.19331095041323,204.08135330578511,41.225537279612766,58.35701783564543,91.61669129244504,136.35563016528926,156.91877582644628,94.91851756198348,63.43570494195723,40.838528017165814,39.87176562794756,127.23850723140495,59.05563684723753,139
20,90.12151342975207,68.15650826446281,166.49276859504133,54.262474591033794,58.96716973369864,96.39530300542883,109.4192923553719,189.10847107438016,184.90960743801654,39.23550746700562,51.87266982257507,86.76562301654498,99.70015495867769,162.0724431818182,82.73037190082644,54.18714910451703,44.15056057272925,47.190897018725316,85.94653925619835,44.3205300474217,90
30,96.73469135802469,66.55716049382715,154.31765432098766,58.40560058098647,58.578427469305716,88.99383088303667,113.96037037037037,191.37728395061728,172.11382716049383,37.4502011382439,45.84183627557804,81.46361685156158,98.07592592592593,160.90086419753086,88.8474074074074,54.289921654746045,42.678194903730606,43.050589528025775,85.5983950617284,44.95893404553307,96
40,101.48296376419687,66.43374797187668,159.84234721471066,59.36241694788299,58.784559742359704,91.68866786069441,112.7934018388318,188.87682531097892,178.0623309897242,39.9963598904979,50.30640941267807,83.067303364433,100.85640886965928,163.01865873445107,87.33423472147106,53.98041066750813,44.36600658048031,44.32759117763735,87.58031368307194,44.34833003830721,101
50,98.37543209876543,64.95382716049383,159.9479012345679,59.03501922743535,59.938730786660855,91.80203204824922,113.97876543209877,194.62061728395062,177.64617283950616,37.41739271365908,46.32221177062537,83.54634991499195,99.05691358024691,163.2116049382716,86.20518518518519,54.972431657385,43.89285960819444,44.51371959714346,85.79469135802469,45.8317717871746,98
60,99.87993510005408,66.83666846944294,159.83126014061654,58.680337549495874,58.98690935560194,91.98643512632313,113.16765819361817,189.90643591130342,178.16373715521902,38.91099400964731,48.961700760702335,83.34323939938798,100.66238507301244,162.5219037317469,87.20267712276906,53.99075494183925,44.32441531262774,44.582258466904364,87.33639805300162,44.30480528011784,99
70,95.15703703703704,64.2541975308642,161.51135802469136,56.71453560812732,59.14613374263547,92.96159565141406,112.84481481481481,195.10814814814816,178.96641975308643,37.980049883632816,46.38194527171029,84.58668930848096,98.02012345679012,163.29135802469136,84.70753086419754,54.305786836536825,43.63126129684197,45.11509306538589,84.59641975308642,44.96990172610905,95
80,92.4920987654321,66.96432098765432,154.1137037037037,55.93002296114932,58.61079272032049,89.85958613089596,112.82925925925926,190.56765432098766,172.20197530864198,37.41442064620016,46.222174045690835,82.19133471523014,96.91518518518518,159.9572839506173,88.21086419753087,54.26352108025643,42.34641270717374,43.85846462208007,84.54728395061728,44.74364689056448,92
90,98.60197530864197,66.27271604938272,157.5369135802469,59.248827428512975,60.169278254849424,90.78608962548368,113.91938271604938,192.1911111111111,175.40358024691358,38.017348796247006,47.584931425456865,82.77284377254522,99.22666666666667,162.12172839506172,87.69148148148147,55.281825468778564,43.333982866645485,43.884911229347175,86.3620987654321,46.27378396041258,98
100,102.20753086419754,64.10555555555555,167.36679012345678,61.60591415875157,58.743458527338056,96.49256177214394,114.0441975308642,197.16246913580247,184.96716049382715,37.87215038749882,45.13579263311345,87.20996181678646,101.41716049382715,165.96012345679011,83.5279012345679,54.715036657043825,45.30995600930336,45.801009065277725,87.28345679012345,45.351234460188046,102
0,152.54158790170132,122.66091682419659,184.3134451795841,92.09254596768068,66.808713222801,103.9220806455114,117.0960538752363,139.30883742911152,201.12771739130434,40.497372823432904,65.57124177554367,92.84713190413436,146.07360586011342,152.82218809073723,102.328095463138,71.02485748563038,37.89008110144243,35.616000801639956,138.6389413988658,68.88904448125979,152
10,154.01024691358026,126.5358024691358,185.78629629629629,90.44260177586897,66.48038290184404,103.62706822543339,117.65901234567902,137.0895061728395,203.0427160493827,39.17214018822272,65.47393233803447,92.02856455393425,148.9420987654321,151.52604938271605,103.14074074074074,70.33056677402563,37.54981465585308,35.46820442843462,141.5222222222222,68.12989318705125,154
