# Cyanide Concentration,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
0ppm,137.96455576559546,108.15181947069944,184.67202268431,81.44416117935701,61.73156329160048,103.54634995822192,115.19896030245746,156.17060491493385,202.33955576559546,38.398530991222415,57.09390960514797,91.7447273925838,134.91339792060492,156.7156190926276,94.91387051039698,64.29695727354141,40.47211999716273,39.773671797930234,125.80682892249527,60.1610405437069
10ppm,139.67072306238185,106.93431001890359,185.72365311909263,82.20763434591268,61.35688031778596,103.54643045057361,116.13917769376181,157.82691398865785,203.28804347826087,38.09194435878401,56.23320105063306,91.64696441113064,134.92474007561438,158.05470226843101,94.30434782608695,64.00124520607908,41.03235628032025,40.026087310733075,125.72164461247637,59.774606376182646
20ppm,91.39382716049383,68.71703703703703,162.309012345679,54.78235690952626,59.50863144042391,93.46974921087066,112.39283950617283,192.0895061728395,180.77283950617283,36.23505904897747,45.774805874438776,84.40059535853688,99.38197530864197,161.06061728395062,84.83814814814815,54.49426311225374,43.31622915560559,45.83891388547807,86.18296296296296,44.78611288413221
30ppm,99.24061728395061,67.04691358024691,157.16555555555556,59.270191159745615,59.96333259506273,90.83641176570734,113.8641975308642,192.34345679012347,175.97024691358024,38.08007582678017,46.11516783120262,82.3163573963326,100.12333333333333,161.86074074074074,88.27197530864197,54.691554621473145,43.985116612348776,44.27118428308137,86.9632098765432,45.103928049551975
40ppm,97.61441115702479,67.90676652892562,163.50180785123968,57.5066972291302,60.36095443178947,93.57832903021428,111.06430785123968,188.70790289256198,182.66955061983472,40.24503006681423,52.22160454192038,83.90056265451584,101.58923037190083,162.73205061983472,85.40508780991736,54.35460972040997,44.933262330559295,46.097602167146086,87.70674070247934,44.37172611618656
50ppm,100.8153409090909,66.52208161157024,154.34491219008265,59.79952512135153,60.71461939492168,88.92235311619699,112.68737086776859,187.4868285123967,173.9638429752066,40.82370211720889,53.249452739044955,80.35812940371746,100.41064049586777,161.62629132231405,89.88610537190083,54.28793871268654,44.64423545296295,44.03481017731919,86.80849690082644,44.26071303189695
60ppm,103.34101725163593,72.91032123735872,157.77736466389055,59.13560506960711,60.1834061360632,89.39486205328666,113.5696014277216,186.94616299821536,178.4480963712076,38.355018446036624,45.40345365343184,79.57708791931417,104.84414039262344,160.30963712076147,90.48810232004759,53.876277531545156,44.86193927380635,44.49392215675502,91.7034503271862,43.55629239013118
70ppm,98.7627840909091,66.59284607438016,159.17277892561984,59.264192203888314,60.06955038735269,91.54763021431022,112.03163739669421,188.69692665289256,178.36660640495867,40.228821954050154,52.66293548229522,82.4992504070131,100.41993801652893,162.52776342975207,87.18336776859505,54.423666548429736,44.73994247126905,45.119652131780065,86.78706095041322,44.46451927222335
80ppm,94.296875,68.56547004132231,158.79532541322314,56.523669076363134,60.19426283063258,91.98195381896848,110.6587035123967,186.76588326446281,178.36738119834712,40.06825103346917,52.62840768785524,82.8082410026679,99.8983729338843,160.84529958677686,87.00335743801652,54.523460314119674,44.13205183990804,45.604462875711576,86.56417871900827,44.358335689491476
90ppm,98.54506714876032,67.77737603305785,157.67781508264463,58.735502729912625,60.19051000244529,91.52274924700562,111.41490185950413,187.0025826446281,177.26898243801654,40.829401424747566,52.732033420889884,82.42425673203371,100.65741219008264,161.6097623966942,88.16231921487604,54.518724646720166,44.51697069083878,44.99934710951259,87.24276859504133,44.472777556327095
100ppm,110.38068181818181,64.45080061983471,166.61376549586777,64.93308474557824,60.48938808713913,95.36536538413706,113.54041838842976,191.93065599173553,185.5361570247934,41.528326843294124,53.074819229491766,85.25112687086431,104.74341425619835,167.00671487603304,85.73024276859505,54.94766382504772,46.69614729131932,45.52191807753263,89.85007747933884,45.284244809755464
0ppm,158.35518518518518,126.53197530864198,185.02617283950616,93.4846201995526,66.50003129897625,103.80560562622289,118.7979012345679,137.869012345679,203.30456790123458,40.30788631643797,65.41462442870092,91.46583631991881,150.28037037037038,152.7343209876543,104.22913580246913,70.4880169125071,38.78870310717378,35.62901564796993,142.7422222222222,68.36021671725179
10ppm,156.80919187145557,122.23818525519849,184.97601606805293,93.66495187347479,65.73443038261985,103.84790466274629,118.54962192816635,140.8781899810964,202.8133270321361,40.841064818041026,64.06288761593326,91.81922184939903,147.46030245746692,154.531309073724,102.59156427221173,69.94578701857354,39.37089718639583,36.29479670914231,139.7476370510397,67.74569594160997
20ppm,110.14914772727273,85.68969524793388,170.9013429752066,65.27619990918242,60.91176781100407,98.85045276911598,111.08935950413223,171.21965392561984,190.30914256198346,39.93973404753857,55.57486408124475,87.84412694969457,114.50335743801652,158.4839876033058,89.45932334710744,58.211369351574795,42.73234679503826,44.017894656098264,102.73450413223141,50.73540804716951
