bin, Red Channel, Green Channel, Blue Channel
0,47,2,43
1,1,2,1
2,1,2,0
3,0,1,3
4,0,2,1
5,2,0,3
6,3,1,2
7,0,2,0
8,2,2,2
9,1,0,3
10,1,0,0
11,1,0,1
12,2,0,2
13,2,1,0
14,2,0,5
15,0,0,0
16,1,2,1
17,1,2,0
18,1,3,1
19,3,0,1
20,4,0,2
21,1,0,0
22,1,1,3
23,3,1,1
24,3,1,2
25,3,1,4
26,1,0,4
27,3,1,4
28,5,0,9
29,2,0,6
30,5,0,5
31,4,0,1
32,2,0,2
33,5,0,5
34,5,2,2
35,3,0,1
36,3,2,1
37,3,2,1
38,1,1,4
39,1,1,5
40,1,1,2
41,3,1,2
42,2,0,4
43,3,1,0
44,2,0,2
45,2,0,4
46,3,1,3
47,4,1,1
48,1,0,1
49,2,1,4
50,4,0,2
51,3,0,3
52,3,0,3
53,4,0,3
54,3,0,2
55,1,0,3
56,0,1,3
57,2,0,3
58,0,0,1
59,2,2,2
60,3,1,4
61,4,1,2
62,2,6,2
63,3,5,2
64,2,6,4
65,3,11,3
66,3,16,3
67,2,29,1
68,0,42,1
69,3,81,4
70,3,99,0
71,3,124,6
72,3,191,1
73,2,295,1
74,4,403,5
75,2,494,3
76,5,629,2
77,2,768,1
78,1,918,2
79,4,963,8
80,5,991,4
81,2,983,2
82,3,981,5
83,1,879,9
84,5,753,7
85,5,608,8
86,11,475,6
87,5,358,15
88,10,240,23
89,16,186,23
90,28,135,22
91,33,66,35
92,40,57,72
93,73,30,89
94,97,22,141
95,144,12,164
96,210,7,224
97,301,10,359
98,368,7,441
99,465,6,548
100,621,4,684
101,743,3,812
102,862,4,939
103,928,3,1030
104,975,3,985
105,940,2,988
106,962,0,890
107,860,0,827
108,811,0,677
109,657,2,556
110,485,0,386
111,379,1,331
112,286,1,203
113,198,3,136
114,122,1,84
115,81,2,50
116,60,0,45
117,32,0,22
118,21,3,12
119,13,1,7
120,6,3,0
121,2,1,3
122,4,1,1
123,2,1,1
124,0,1,0
125,0,1,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,1,0
131,0,0,0
132,0,2,0
133,0,1,0
134,0,2,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,1,0
187,0,0,0
188,0,2,0
189,0,1,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,1,0
200,0,0,0
201,0,2,0
202,0,1,0
203,0,2,0
204,0,2,0
205,0,1,0
206,0,3,0
207,0,0,0
208,0,1,0
209,0,1,0
210,0,1,0
211,0,1,0
212,0,3,0
213,0,3,0
214,0,5,0
215,0,3,0
216,0,0,0
217,0,1,0
218,0,2,0
219,0,2,0
220,0,3,0
221,0,3,0
222,0,1,0
223,0,1,0
224,0,3,0
225,0,0,0
226,0,2,0
227,0,1,0
228,0,4,0
229,0,0,0
230,0,3,0
231,0,8,0
232,0,1,0
233,0,5,0
234,0,2,0
235,0,5,0
236,0,5,0
237,0,2,0
238,0,3,0
239,0,3,0
240,0,2,0
241,0,4,0
242,0,2,0
243,0,1,0
244,0,2,0
245,0,2,0
246,0,2,0
247,0,1,0
248,0,2,0
249,0,0,0
250,0,1,0
251,0,1,0
252,0,1,0
253,0,2,0
254,0,0,0
255,0,4,0
