# Cyanide Concentration,coordinate,R,G,B,R_std,G_std,B_std,H,S,V,H_std,S_std,V_std,L,a,b,L_std,a_std,b_std,Gray,Gray_std
0.1,2,139.5792593,125.835679,149.9081481,7.088454493,6.993844637,6.577361682,137.1965432,41.03271605,149.9081481,1.859613102,3.291521661,6.577361682,139.5692593,137.907037,117.1051852,6.941289466,0.665276225,0.880683112,132.6648148,6.945990692
0.1,3,127.9483951,114.5114815,144.1141975,6.137462671,6.0321764,6.263921456,133.8123457,52.43691358,144.1141975,1.746345936,2.928378872,6.263921456,128.6667901,139.2106173,113.735679,6.138963464,0.887546689,0.845838671,121.8919753,6.030053113
0.1,4,149.3790123,133.7109877,159.6525926,7.096812292,7.462783565,6.770108553,138.1582716,41.53333333,159.6525926,1.547083908,3.663803596,6.770108553,147.8432099,138.8916049,116.4834568,7.214379302,0.922344646,0.871410323,141.3909877,7.221185756
0.1,5,144.3345679,132.5492593,160.0307407,6.1437243,6.106294522,5.752115505,132.8858025,43.83950617,160.0307407,2.23146321,3.274732258,5.752115505,146.057284,137.878642,115.055679,5.966795159,1.074835908,0.730963238,139.2188889,5.961159366
0.1,6,127.5423457,115.3076543,145.0595062,6.365905282,6.638675733,6.465380915,132.3841975,52.3791358,145.0595062,1.667865394,3.362477664,6.465380915,129.2577778,138.6817284,113.4806173,6.652334223,0.92985435,0.761411694,122.362716,6.523597624
0.1,7,129.2660494,115.284321,146.877037,7.548588811,7.543423338,7.403782224,133.472716,54.96790123,146.877037,1.34939265,3.921099215,7.403782224,129.8139506,139.7896296,112.772963,7.619100621,0.857755389,0.8725922,122.971358,7.47636073
0.1,8,142.0265432,132.2117284,161.5459259,7.830466719,8.569886164,8.109923167,129.8602469,46.47641975,161.5459259,1.775755777,3.393575924,8.109923167,145.4835802,137.4777778,113.844321,8.129604611,0.853098926,0.557406779,138.631358,8.229435538
0.1,9,135.2949383,122.1067901,152.5391358,7.486649785,7.649647991,7.117519629,133.1174074,51.00197531,152.5391358,1.848701431,3.890760953,7.117519629,136.4024691,139.1651852,113.4435802,7.470864814,1.022281533,0.873704768,129.5060494,7.46113141
0.2,2,139.8796296,121.6208642,153.7037037,7.230880612,7.659099921,7.553830595,137.1951852,53.36407407,153.7037037,1.121199326,3.189785889,7.553830595,137.1860494,141.4833333,113.26,7.528764786,0.714985107,0.542336054,130.6651852,7.529595781
0.2,3,139.9495062,124.3675309,153.8123457,8.731186816,8.948817845,8.967876591,136.2175309,48.96641975,153.8123457,0.805744087,3.923919466,8.967876591,138.9169136,139.8402469,114.4351852,8.814879976,0.825614586,1.007562284,132.442716,8.88471027
0.2,4,151.2207407,131.4348148,163.4554321,7.043229089,6.941862473,6.83060389,138.5655556,50.05308642,163.4554321,0.988963168,2.714323526,6.83060389,147.1433333,141.607037,113.8528395,6.741273188,0.677886957,0.693762749,140.8576543,6.936723489
0.2,5,151.9090123,135.3781481,166.455679,6.888153564,6.853571946,6.650304818,136.17,47.69098765,166.455679,1.20343695,2.946970449,6.650304818,150.1128395,140.4382716,113.8550617,6.652214564,0.804626729,0.816635863,143.9381481,6.776794211
0.2,6,137.5508642,123.9074074,157.2022222,6.259353928,6.194048872,5.692368294,132.4545679,54.09037037,157.2022222,1.702803824,3.809958505,5.692368294,138.5067901,139.9309877,111.9580247,6.08869248,0.892798492,1.109761869,131.7106173,6.077662876
0.2,7,135.0148148,117.5308642,149.7854321,7.898071512,7.874707786,7.577216344,136.3960494,55.07246914,149.7854321,1.800187699,3.844644513,7.577216344,132.8817284,141.2450617,112.9417284,7.83410316,1.154623153,0.614686089,126.4516049,7.772125161
0.2,8,140.2107407,124.9774074,156.8260494,6.750466518,7.127194187,6.721679533,134.6174074,51.89864198,156.8260494,1.166896568,3.504208846,6.721679533,139.8135802,140.1990123,113.0496296,6.918935426,0.808992064,0.832373439,133.0892593,6.909150004
0.2,9,132.104321,119.947037,157.1669136,6.624261885,6.761786955,6.447933278,129.6816049,60.50259259,157.1669136,1.50373441,3.559944263,6.447933278,134.5201235,140.5239506,109.5948148,6.67105152,0.867403788,0.810135046,127.842963,6.620415944
0.5,2,155.6602469,139.82,170.3174074,6.974034731,7.270127956,6.687402433,135.9119753,45.77790123,170.3174074,1.101975689,3.239826324,6.687402433,154.2108642,139.9882716,114.2179012,6.939917137,0.865518171,0.780345311,148.09,7.080833023
